YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1899,999.9,999.9,999.9,999.9,999.9,999.9,999.9,28.0,25.4,21.7,17.7,11.7,999.9,999.9,999.9,21.6,999.9
1900,10.4,12.3,15.5,20.7,24.6,26.9,27.8,28.5,27.3,23.3,16.2,12.3,11.47,20.27,27.73,22.27,20.43
1901,11.8,9.9,14.3,17.9,24.6,27.2,28.4,27.2,25.4,20.7,13.6,10.8,11.33,18.93,27.6,19.9,19.44
1903,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1905,999.9,999.9,18.2,21.2,26.0,27.5,27.5,27.0,26.4,21.1,16.9,11.5,999.9,21.8,27.33,21.47,20.95
1906,13.1,12.6,15.9,20.6,24.0,27.9,27.4,27.2,26.6,19.8,17.8,13.4,12.4,20.17,27.5,21.4,20.37
1907,17.2,15.1,22.1,19.0,24.3,26.6,27.5,27.1,26.0,20.8,15.9,11.8,15.23,21.8,27.07,20.9,21.25
1908,12.5,12.9,20.6,22.7,24.6,26.9,27.3,27.2,24.7,19.3,17.1,15.6,12.4,22.63,27.13,20.37,20.63
1909,15.7,14.1,17.8,20.8,23.5,27.1,27.3,27.8,25.4,20.8,18.6,9.8,15.13,20.7,27.4,21.6,21.21
1910,11.7,11.6,18.8,19.5,24.2,25.7,27.0,27.2,26.0,22.4,15.0,9.7,11.03,20.83,26.63,21.13,19.91
1911,15.0,16.7,18.9,21.0,24.6,27.7,26.5,26.8,27.5,23.7,16.1,15.0,13.8,21.5,27.0,22.43,21.18
1912,10.8,10.2,16.7,21.8,25.1,25.8,27.3,26.9,26.0,22.4,14.6,13.8,12.0,21.2,26.67,21.0,20.22
1913,15.8,13.4,17.5,19.4,23.8,25.9,28.1,27.2,24.4,19.5,16.7,13.6,14.33,20.23,27.07,20.2,20.46
1914,12.7,12.0,14.4,20.9,24.5,29.0,27.6,26.8,24.2,21.3,16.6,12.0,12.77,19.93,27.8,20.7,20.3
1915,12.2,12.8,12.8,19.6,25.4,27.8,28.2,27.7,26.4,22.4,18.8,11.1,12.33,19.27,27.9,22.53,20.51
1916,16.6,14.1,16.0,19.7,25.0,26.1,26.4,27.8,24.9,21.7,16.8,14.1,13.93,20.23,26.77,21.13,20.52
1917,15.8,14.2,19.1,21.0,22.5,26.8,27.2,27.4,25.3,19.6,14.5,10.5,14.7,20.87,27.13,19.8,20.62
1918,8.5,17.2,19.6,18.9,24.2,27.7,27.7,28.0,24.5,24.0,15.7,13.8,12.07,20.9,27.8,21.4,20.54
1919,11.2,13.3,17.5,20.7,24.3,27.3,27.5,28.3,26.3,26.5,18.2,12.4,12.77,20.83,27.7,23.67,21.24
1920,13.1,11.7,14.9,21.1,24.3,27.5,27.7,27.1,26.6,20.8,14.5,11.4,12.4,20.1,27.43,20.63,20.14
1921,13.9,14.3,20.4,20.8,23.3,999.9,999.9,999.9,999.9,999.9,999.9,999.9,13.2,21.5,999.9,999.9,999.9
1922,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,16.8,999.9,999.9,999.9,999.9,999.9
1924,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1925,999.9,999.9,999.9,999.9,999.9,27.9,28.8,28.1,29.7,22.8,14.9,12.5,999.9,999.9,28.27,22.47,999.9
1926,11.7,13.0,999.9,19.3,24.1,27.1,27.5,27.7,26.8,21.7,14.1,15.3,12.4,19.88,27.43,20.87,20.15
1927,13.3,18.3,18.0,22.3,25.6,27.5,27.7,27.3,26.1,22.2,18.6,12.2,15.63,21.97,27.5,22.3,21.85
1928,10.9,13.2,17.7,18.3,999.9,26.4,27.6,27.2,25.2,22.4,14.8,12.5,12.1,19.96,27.07,20.8,19.98
1929,14.2,14.3,18.7,21.9,24.0,25.5,26.7,27.1,24.9,20.2,17.3,10.9,13.67,21.53,26.43,20.8,20.61
1930,12.7,15.4,13.7,20.1,25.1,25.8,28.1,26.9,26.3,19.2,15.0,9.5,13.0,19.63,26.93,20.17,19.93
1931,11.2,13.2,14.1,18.7,23.6,28.2,28.7,26.7,26.8,22.9,18.6,18.7,11.3,18.8,27.87,22.77,20.18
1932,16.4,19.0,14.2,20.4,24.0,26.9,29.5,27.3,25.2,20.4,13.4,16.6,18.03,19.53,27.9,19.67,21.28
1933,15.3,14.7,16.6,19.4,26.5,27.0,27.6,27.7,27.3,22.5,16.0,16.4,15.53,20.83,27.43,21.93,21.43
1935,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1936,999.9,11.4,17.9,19.9,24.5,27.0,28.5,27.4,27.0,22.4,15.0,13.9,999.9,20.77,27.63,21.47,20.7
1937,19.5,13.3,15.6,19.3,24.6,27.0,27.5,27.1,24.2,19.6,14.2,11.9,15.57,19.83,27.2,19.33,20.48
1938,12.7,16.2,19.8,20.2,25.1,26.1,26.8,28.5,24.8,19.7,17.5,12.3,13.6,21.7,27.13,20.67,20.78
1939,14.5,16.3,18.5,19.8,23.3,26.9,27.2,26.0,26.3,21.6,14.8,12.9,14.37,20.53,26.7,20.9,20.62
1940,5.9,11.1,15.4,19.1,22.4,26.8,27.6,28.1,24.1,20.0,15.6,14.5,9.97,18.97,27.5,19.9,19.08
1941,11.4,9.7,13.8,21.2,24.6,27.4,27.8,28.8,26.9,24.6,15.6,13.3,11.87,19.87,28.0,22.37,20.53
1942,10.5,10.1,14.9,20.0,23.6,27.2,28.6,27.6,25.5,21.4,16.9,13.3,11.3,19.5,27.8,21.27,19.97
1943,13.0,12.4,16.4,19.7,25.3,28.4,28.6,28.6,25.6,19.7,13.5,11.1,12.9,20.47,28.53,19.6,20.38
1944,11.3,17.0,17.9,20.0,24.3,28.8,27.2,27.9,26.9,19.8,15.1,10.6,13.13,20.73,27.97,20.6,20.61
1945,11.1,15.6,20.9,21.7,23.4,27.7,27.5,27.5,27.2,20.8,15.8,9.7,12.43,22.0,27.57,21.27,20.82
1946,13.5,13.6,18.2,21.4,24.3,999.9,28.0,27.3,25.5,21.9,19.7,14.3,12.27,21.3,27.41,22.37,20.84
1947,15.9,9.8,13.7,22.4,24.4,27.0,27.1,27.9,26.2,22.8,15.7,13.5,13.33,20.17,27.33,21.57,20.6
1948,9.5,15.5,18.3,22.6,25.7,27.7,27.6,27.5,25.2,19.4,19.1,16.1,12.83,22.2,27.6,21.23,20.97
1949,16.7,17.8,16.4,20.7,25.2,26.9,27.7,27.5,25.7,24.2,14.6,15.5,16.87,20.77,27.37,21.5,21.62
1950,19.2,15.9,15.5,18.1,25.3,27.7,26.8,27.9,25.7,22.8,13.6,11.0,16.87,19.63,27.47,20.7,21.17
1951,12.4,13.4,17.5,19.5,24.0,27.7,28.5,29.2,27.2,23.3,14.2,15.4,12.27,20.33,28.47,21.57,20.66
1952,16.0,14.7,17.0,19.2,24.6,29.4,28.8,27.6,25.7,20.2,15.6,12.0,15.37,20.27,28.6,20.5,21.18
1953,13.4,14.4,19.1,19.2,26.2,27.5,27.9,27.4,25.8,21.0,14.8,13.0,13.27,21.5,27.6,20.53,20.73
1954,13.3,14.5,16.1,22.9,22.6,27.7,28.8,29.4,27.8,20.8,14.3,10.7,13.6,20.53,28.63,20.97,20.93
1955,11.3,14.3,18.3,21.6,25.1,25.8,27.5,28.2,26.8,20.3,15.1,12.3,12.1,21.67,27.17,20.73,20.42
1956,9.9,16.1,16.0,18.8,24.9,26.3,27.1,27.7,24.5,21.2,14.3,15.4,12.77,19.9,27.03,20.0,19.93
1957,15.3,17.3,15.7,21.0,24.7,27.1,28.1,27.5,26.0,19.3,17.9,12.3,16.0,20.47,27.57,21.07,21.28
1958,8.7,8.4,15.7,20.7,23.9,27.5,27.9,27.8,27.0,20.7,17.7,11.5,9.8,20.1,27.73,21.8,19.86
1959,11.0,15.8,15.5,19.6,24.9,26.7,27.8,28.0,26.4,23.3,15.6,12.3,12.77,20.0,27.5,21.77,20.51
1960,11.7,11.6,13.1,20.7,22.5,26.1,27.8,27.3,26.2,22.3,17.0,10.0,11.87,18.77,27.07,21.83,19.88
1961,9.4,15.1,18.3,17.4,22.8,25.8,27.4,26.9,26.2,20.1,17.2,13.1,11.5,19.5,26.7,21.17,19.72
1962,11.2,17.4,14.8,19.0,26.3,27.3,28.7,27.7,26.4,21.5,14.1,11.0,13.9,20.03,27.9,20.67,20.62
1963,10.2,10.3,17.3,21.0,24.8,27.1,28.1,28.6,25.7,20.6,14.6,8.0,10.5,21.03,27.93,20.3,19.94
1964,10.4,10.1,16.3,20.9,23.7,27.6,27.6,28.0,26.3,999.9,16.2,13.5,9.5,20.3,27.73,21.33,19.71
1965,10.5,12.1,15.7,21.1,24.2,26.4,27.6,27.8,27.0,21.0,17.7,12.4,12.03,20.33,27.27,21.9,20.38
1966,9.8,11.7,15.1,19.3,23.7,25.3,28.3,27.1,26.0,21.4,15.9,11.2,11.3,19.37,26.9,21.1,19.67
1967,12.4,11.4,18.1,22.6,23.6,27.3,27.0,27.4,24.1,19.4,15.0,15.2,11.67,21.43,27.23,19.5,19.96
1968,11.3,8.6,14.0,21.6,23.8,28.1,28.0,28.6,25.8,999.9,999.9,999.9,11.7,19.8,28.23,999.9,20.14
1970,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1971,999.9,999.9,999.9,999.9,999.9,999.9,999.9,27.7,26.8,22.9,15.5,17.6,999.9,999.9,999.9,21.73,999.9
1972,15.5,12.4,16.0,20.6,23.3,26.0,27.3,28.3,26.8,21.7,15.6,14.5,15.17,19.97,27.2,21.37,20.93
1973,11.7,10.9,18.7,18.4,22.9,27.1,28.6,27.6,27.6,21.6,18.2,11.7,12.37,20.0,27.77,22.47,20.65
1974,20.0,12.8,18.7,19.0,24.4,26.3,27.6,27.8,26.8,19.1,14.5,12.1,14.83,20.7,27.23,20.13,20.73
1975,13.4,15.1,16.3,19.4,25.5,27.5,27.1,28.2,25.5,21.9,16.2,11.6,13.53,20.4,27.6,21.2,20.68
1976,9.3,14.6,17.9,20.1,23.2,26.3,28.6,28.4,25.7,18.2,12.6,10.9,11.83,20.4,27.77,18.83,19.71
1977,7.4,10.3,18.5,20.4,23.4,27.4,28.5,27.8,26.9,18.6,16.6,11.4,9.53,20.77,27.9,20.7,19.73
1978,7.8,8.1,14.3,19.8,24.0,27.4,27.9,27.8,27.1,20.8,18.3,12.9,9.1,19.37,27.7,22.07,19.56
1979,8.6,10.6,15.3,20.3,23.0,26.0,28.0,27.2,25.8,19.8,15.7,11.9,10.7,19.53,27.07,20.43,19.43
1980,12.1,10.8,16.8,18.6,23.7,27.0,28.9,28.6,27.9,19.7,15.2,10.7,11.6,19.7,28.17,20.93,20.1
1981,7.3,13.3,14.5,20.9,22.1,28.5,28.3,27.1,24.8,20.6,14.7,10.6,10.43,19.17,27.97,20.03,19.4
1982,10.9,14.7,17.9,19.7,24.1,27.5,27.6,27.9,25.2,21.4,18.2,15.7,12.07,20.57,27.67,21.6,20.48
1983,9.8,12.0,14.7,17.4,22.9,25.9,28.5,28.3,24.6,21.6,14.5,10.7,12.5,18.33,27.57,20.23,19.66
1984,10.2,12.4,15.2,18.7,23.4,26.3,26.8,27.6,25.7,23.3,14.7,17.4,11.1,19.1,26.9,21.23,19.58
1985,8.4,13.7,18.3,19.7,24.3,27.5,27.5,27.6,25.8,24.1,20.3,10.1,13.17,20.77,27.53,23.4,21.22
1986,10.4,14.6,15.8,18.8,24.2,28.1,29.0,27.7,27.7,21.9,20.4,13.8,11.7,19.6,28.27,23.33,20.73
1987,10.5,12.8,16.2,17.9,24.8,27.1,28.9,29.1,26.0,17.7,17.2,14.1,12.37,19.63,28.37,20.3,20.17
1989,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9
1990,999.9,999.9,999.9,19.6,24.4,28.1,28.6,29.1,26.8,22.3,16.7,15.4,999.9,20.18,28.6,21.93,20.99
1991,13.1,14.3,17.4,22.6,26.0,27.2,28.5,28.2,27.1,21.5,14.0,13.8,14.27,22.0,27.97,20.87,21.28
1992,10.9,14.1,15.8,18.6,22.7,27.0,28.7,27.3,26.4,19.6,17.1,13.6,12.93,19.03,27.67,21.03,20.17
1993,15.1,12.5,15.8,17.4,23.7,27.8,29.1,29.2,27.1,21.2,15.8,10.6,13.73,18.97,28.7,21.37,20.69
1994,10.3,15.2,17.1,21.4,23.7,27.4,27.2,27.5,25.5,21.8,19.0,14.2,12.03,20.73,27.37,22.1,20.56
1995,11.0,13.4,18.4,20.2,25.1,26.6,29.1,29.2,26.7,22.2,13.9,10.9,12.87,21.23,28.3,20.93,20.83
1996,11.0,13.0,13.9,17.8,25.4,27.2,28.8,27.7,26.0,20.3,15.9,13.0,11.63,19.03,27.9,20.73,19.82
1997,13.0,15.1,20.2,19.3,22.8,26.0,28.5,28.1,27.4,21.5,14.8,11.9,13.7,20.77,27.53,21.23,20.81
1998,13.3,13.3,14.7,19.7,26.4,30.5,30.0,29.3,27.3,23.0,19.5,15.7,12.83,20.27,29.93,23.27,21.57
1999,13.0,14.6,15.4,22.3,24.0,27.3,28.8,29.7,26.3,22.2,16.1,11.8,14.43,20.57,28.6,21.53,21.28
2000,11.8,14.3,18.6,19.0,25.9,28.3,29.9,29.1,26.0,19.8,15.1,10.1,12.63,21.17,29.1,20.3,20.8
2001,9.3,16.1,15.5,20.2,23.7,26.9,28.4,27.6,24.8,20.0,18.2,14.9,11.83,19.8,27.63,21.0,20.07
2002,12.5,11.8,16.7,23.0,24.7,27.5,28.4,28.1,27.8,23.8,14.6,10.9,13.07,21.47,28.0,22.07,21.15
2003,8.6,13.3,18.9,19.8,25.0,26.9,27.4,27.7,25.7,21.5,17.9,9.7,10.93,21.23,27.33,21.7,20.3
2004,11.0,11.6,17.3,18.5,24.9,27.7,28.5,28.2,26.5,23.0,17.6,10.8,10.77,20.23,28.13,22.37,20.38
2005,13.2,14.0,15.4,17.5,23.2,27.4,29.0,29.0,27.9,22.5,18.0,11.5,12.67,18.7,28.47,22.8,20.66
2006,14.4,12.7,16.9,22.1,24.2,27.1,28.7,29.3,25.3,20.4,15.3,14.7,12.87,21.07,28.37,20.33,20.66
2007,12.9,11.6,17.5,18.6,24.2,27.8,29.3,30.0,27.7,23.6,15.2,15.2,13.07,20.1,29.03,22.17,21.09
2008,11.3,13.8,15.7,20.0,24.8,27.9,28.4,28.0,26.6,20.3,13.7,14.3,13.43,20.17,28.1,20.2,20.48
2009,11.8,11.2,17.0,20.1,24.8,29.1,28.1,27.8,26.9,22.9,15.6,12.6,12.43,20.63,28.33,21.8,20.8
2010,8.9,8.6,13.8,20.4,26.1,29.4,29.7,29.6,27.8,20.8,15.6,7.6,10.03,20.1,29.57,21.4,20.28
2011,8.7,13.7,18.0,21.3,24.4,29.7,29.2,30.1,26.2,19.6,16.7,14.4,10.0,21.23,29.67,20.83,20.43
2012,13.1,15.5,20.9,21.4,25.5,26.6,28.3,27.4,26.0,21.3,14.5,13.8,14.33,22.6,27.43,20.6,21.24
2013,15.4,13.4,13.0,20.0,22.7,27.8,27.2,28.1,26.9,21.9,16.7,15.0,14.2,18.57,27.7,21.83,20.57
2014,9.0,13.9,15.3,19.9,24.1,27.8,28.0,29.2,26.5,20.6,12.4,14.0,12.63,19.77,28.33,19.83,20.14
2015,11.4,10.8,19.0,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,999.9,12.07,999.9,999.9,999.9,999.9
